"Participant","pair","condition","ACC","RT","reward"
"P02",3,"N",1,0.816456507421,0
"P02",3,"N",1,0.899726334942,1
"P02",1,"N",1,0.666417238839,1
"P02",2,"N",1,0.766471081638,1
"P02",2,"N",1,0.566541291108,1
"P02",3,"N",1,0.649805984872,1
"P02",1,"N",1,0.58319234598,1
"P02",2,"N",1,0.633155576608,1
"P02",2,"N",1,0.616584556623,0
"P02",3,"N",1,0.749772123727,1
"P02",1,"N",1,0.599847821837,1
"P02",1,"N",1,0.583201049608,1
"P02",3,"N",1,0.666509556247,1
"P02",1,"N",1,0.566508900618,1
"P02",1,"N",1,0.54985857957,1
"P02",1,"N",1,0.549924569556,1
"P02",2,"N",1,0.566493240703,0
"P02",3,"N",1,0.716494747447,0
"P02",2,"N",1,0.649812468986,1
"P02",3,"N",0,0.766449761658,0
"P02",2,"N",1,0.53321479677,1
"P02",3,"N",1,0.766515435858,0
"P02",3,"N",1,0.649837821988,1
"P02",1,"N",1,0.583218005745,1
"P02",1,"N",1,0.599860393077,1
"P02",1,"N",1,0.516549874438,1
"P02",1,"N",1,0.583222547029,1
"P02",1,"N",1,0.583254612713,1
"P02",2,"N",1,0.633203028526,0
"P02",2,"N",1,0.766446997789,1
"P02",2,"N",1,0.583196222613,1
"P02",3,"N",0,0.783099475196,1
"P02",3,"N",0,1.09968158374,1
"P02",1,"N",1,1.21623599044,1
"P02",3,"N",1,0.749789579104,1
"P02",1,"N",1,0.633187681388,1
"P02",1,"N",1,0.483220276387,1
"P02",3,"N",0,0.599807281093,0
"P02",3,"N",1,0.633222910933,0
"P02",1,"N",1,0.549857860784,1
"P02",2,"N",1,0.599889992632,1
"P02",3,"N",0,0.549867890708,0
"P02",1,"N",1,0.866432173952,1
"P02",2,"N",1,0.733143474534,1
"P02",2,"N",1,0.56651781477,1
"P02",1,"N",1,1.03407327108,1
"P02",2,"N",1,0.616467917775,0
"P02",1,"N",1,0.716522277861,0
"P02",1,"N",1,0.54992656351,0
"P02",2,"N",1,0.549876359754,1
"P02",2,"N",1,0.566539862558,0
"P02",2,"N",1,0.54987278086,0
"P02",2,"N",1,0.583191398626,1
"P02",2,"N",1,0.549916265921,0
"P02",3,"N",1,0.716469120765,1
"P02",3,"N",1,0.616534858123,0
"P02",1,"N",1,1.03305028496,1
"P02",2,"N",1,0.549876224417,1
"P02",1,"N",1,0.599864065202,1
"P02",1,"N",1,0.64981904633,1
"P02",3,"N",1,0.916357558533,1
"P02",2,"N",1,0.58317409663,1
"P02",1,"N",1,0.699808264537,0
"P02",3,"N",1,0.566518813251,1
"P02",3,"N",1,0.649870810965,1
"P02",1,"N",1,0.466605602923,1
"P02",1,"N",1,0.53321111863,1
"P02",2,"N",1,0.74979544067,1
"P02",3,"N",1,0.683162235154,0
